win,lose,probability
Oklahoma City Thunder,Portland Trail Blazers,0.6189025863519042
Charlotte Hornets,Orlando Magic,0.5859132380221974
San Antonio Spurs,Washington Wizards,0.8359403838876617
New Orleans Pelicans,Utah Jazz,0.5580455199978145
Toronto Raptors,Charlotte Hornets,0.6630874077991695
Cleveland Cavaliers,Oklahoma City Thunder,0.6542087091821657
Houston Rockets,Los Angeles Lakers,0.9053355554347849
Atlanta Hawks,Boston Celtics,0.581102086564644
Chicago Bulls,Detroit Pistons,0.8155830082466272
Dallas Mavericks,Memphis Grizzlies,0.5306169967197907
Golden State Warriors,Milwaukee Bucks,0.9351610529911979
Indiana Pacers,Brooklyn Nets,0.6734090647301649
Toronto Raptors,Miami Heat,0.6376643434001169
Sacramento Kings,Minnesota Timberwolves,0.7350375376572438
Portland Trail Blazers,Orlando Magic,0.784806210550179
New York Knicks,Philadelphia 76ers,0.5495762417677044
New Orleans Pelicans,Phoenix Suns,0.6181908579360952
San Antonio Spurs,Los Angeles Clippers,0.5730917500793066
Utah Jazz,Denver Nuggets,0.6854059676070989
Los Angeles Clippers,Houston Rockets,0.531364077018581
Memphis Grizzlies,Indiana Pacers,0.7869389970419723
Chicago Bulls,New York Knicks,0.9001086653316588
Oklahoma City Thunder,Los Angeles Lakers,0.877392146482256
Washington Wizards,Charlotte Hornets,0.7963318734397459
Brooklyn Nets,Minnesota Timberwolves,0.8632921381896079
Cleveland Cavaliers,Philadelphia 76ers,0.9125400853826096
New Orleans Pelicans,Denver Nuggets,0.6494258588558222
Portland Trail Blazers,Miami Heat,0.6333112926088282
Atlanta Hawks,Orlando Magic,0.8567046753825435
Phoenix Suns,Milwaukee Bucks,0.5984507341773662
Toronto Raptors,Sacramento Kings,0.6278559994130403
Atlanta Hawks,Portland Trail Blazers,0.6699033638929184
Boston Celtics,Minnesota Timberwolves,0.8686841988926367
Chicago Bulls,Brooklyn Nets,0.7432841079378777
Houston Rockets,Charlotte Hornets,0.8710466713437279
Los Angeles Clippers,Oklahoma City Thunder,0.6709820292264786
Orlando Magic,New York Knicks,0.6055300725930379
San Antonio Spurs,Indiana Pacers,0.8636225095329397
Utah Jazz,Phoenix Suns,0.6046385204032575
Washington Wizards,Sacramento Kings,0.7297759297527934
Denver Nuggets,Los Angeles Lakers,0.7273691447122412
Miami Heat,Detroit Pistons,0.5875129628067719
Memphis Grizzlies,Philadelphia 76ers,0.892051495593166
Dallas Mavericks,Toronto Raptors,0.5256282699426962
Atlanta Hawks,Detroit Pistons,0.8331182826443146
Brooklyn Nets,Dallas Mavericks,0.5179051900534787
Boston Celtics,Charlotte Hornets,0.6047242383397592
Cleveland Cavaliers,New York Knicks,0.9085242671219353
Golden State Warriors,Utah Jazz,0.8443508389238352
Indiana Pacers,Sacramento Kings,0.6950553330063419
Oklahoma City Thunder,Los Angeles Lakers,0.810186531525498
Milwaukee Bucks,Philadelphia 76ers,0.8299200371882246
San Antonio Spurs,Minnesota Timberwolves,0.8879039833227597
New Orleans Pelicans,Portland Trail Blazers,0.5361598064423472
Houston Rockets,Orlando Magic,0.8993475618435346
Phoenix Suns,Denver Nuggets,0.629503065996983
Washington Wizards,Memphis Grizzlies,0.5181456954209045
Golden State Warriors,Cleveland Cavaliers,0.6588505786035929
Houston Rockets,San Antonio Spurs,0.6203496219836987
Los Angeles Clippers,Los Angeles Lakers,0.9206296849949409
New Orleans Pelicans,Miami Heat,0.6595322758898982
Chicago Bulls,Oklahoma City Thunder,0.5087930845348689
Atlanta Hawks,New York Knicks,0.9069162964040608
Brooklyn Nets,Washington Wizards,0.5903244907648447
Memphis Grizzlies,Charlotte Hornets,0.7315299734671785
Chicago Bulls,Dallas Mavericks,0.5133317318568849
Detroit Pistons,Boston Celtics,0.545645267965757
Toronto Raptors,Milwaukee Bucks,0.5129566367113201
Indiana Pacers,Minnesota Timberwolves,0.756747411668368
Houston Rockets,New Orleans Pelicans,0.679441458453015
Miami Heat,Orlando Magic,0.6859581426663445
Phoenix Suns,Philadelphia 76ers,0.7774715301177666
Cleveland Cavaliers,Portland Trail Blazers,0.6799222247045287
San Antonio Spurs,Denver Nuggets,0.9072694467483677
Los Angeles Clippers,Utah Jazz,0.7698627651454328
Boston Celtics,New York Knicks,0.8501517190031253
Memphis Grizzlies,Los Angeles Lakers,0.9111270523328536
Oklahoma City Thunder,Denver Nuggets,0.7993269384953114
Portland Trail Blazers,Sacramento Kings,0.7221835392253547
Chicago Bulls,Toronto Raptors,0.6382482694012769
Charlotte Hornets,Los Angeles Lakers,0.6952498531431007
Dallas Mavericks,Milwaukee Bucks,0.7743183713752706
Golden State Warriors,Sacramento Kings,0.9226883757574993
Atlanta Hawks,Indiana Pacers,0.5614847639139381
Brooklyn Nets,Miami Heat,0.5174683541843281
New Orleans Pelicans,Orlando Magic,0.8035544471951372
Cleveland Cavaliers,Phoenix Suns,0.8336364759058417
San Antonio Spurs,Minnesota Timberwolves,0.9571365815839605
Utah Jazz,Philadelphia 76ers,0.8175199893907248
Los Angeles Clippers,Washington Wizards,0.6620273901540518
Cleveland Cavaliers,Denver Nuggets,0.8514807366840527
Houston Rockets,Atlanta Hawks,0.6151838938440284
Memphis Grizzlies,Miami Heat,0.7952736385234145
Detroit Pistons,New York Knicks,0.6852966577614947
Oklahoma City Thunder,Milwaukee Bucks,0.7774766279066464
Boston Celtics,Los Angeles Lakers,0.8388989681018856
Chicago Bulls,Indiana Pacers,0.7405307903866708
Los Angeles Clippers,Charlotte Hornets,0.8516189637021929
Golden State Warriors,Dallas Mavericks,0.7569052036841222
Utah Jazz,Minnesota Timberwolves,0.8592188435027072
Brooklyn Nets,Orlando Magic,0.6936737256578727
Portland Trail Blazers,Denver Nuggets,0.8003196354596168
Sacramento Kings,Philadelphia 76ers,0.6598863835856902
San Antonio Spurs,Phoenix Suns,0.872899629374442
Toronto Raptors,Washington Wizards,0.5476183867098465
Detroit Pistons,Minnesota Timberwolves,0.8418921749186333
Golden State Warriors,Houston Rockets,0.6545437555957239
Indiana Pacers,Milwaukee Bucks,0.7336510451148799
Los Angeles Clippers,New Orleans Pelicans,0.7199416969251944
Oklahoma City Thunder,Phoenix Suns,0.736565816283797
Portland Trail Blazers,Utah Jazz,0.5295833718435827
Chicago Bulls,New York Knicks,0.8961690004515889
Los Angeles Lakers,Philadelphia 76ers,0.5637112214904473
Dallas Mavericks,Miami Heat,0.6445844665956024
Toronto Raptors,Charlotte Hornets,0.7095229171917742
Washington Wizards,Orlando Magic,0.8411119546246947
Boston Celtics,Brooklyn Nets,0.6555522096523517
